Player,Position,Nationality
Rolando Aarons,Midfielder,England
Abdul Rahman Baba,Defender,Ghana
Tammy Abraham,Forward,England
Che Adams,Midfielder,England
Albert Adomah,Midfielder,Ghana
Adrián,Goalkeeper,Spain
Adrien Silva,Midfielder,Portugal
Benik Afobe,Forward,The Democratic Republic Of Congo
Sergio Agüero,Forward,Argentina
Daniel Agyei,Forward,England
Soufyan Ahannach,Midfielder,Netherlands
Ahmed El Mohamady,Defender,Egypt
Albian Ajeti,Forward,Switzerland
Nathan Aké,Defender,Netherlands
Alberto Moreno,Defender,Spain
Marc Albrighton,Midfielder,England
Toby Alderweireld,Defender,Belgium
Aleix García,Midfielder,Spain
Trent Alexander-Arnold,Defender,England
Alexis Mac Allister,Midfielder,Argentina
Ali Koiki,Defender,England
Alisson,Goalkeeper,Brazil
Thomas Allan,Forward,England
Allan Souza,Midfielder,Brazil
Miguel Almirón,Midfielder,Paraguay
Marcos Alonso,Defender,Spain
Steven Alzate,Forward,Colombia
Ibrahim Amadou,Midfielder,Cameroon
Daniel Amartey,Midfielder,Ghana
Luke Amos,Midfielder,England
Birkir Bjarnason,Midfielder,Iceland
Joshua Bohui,Forward,England
Tolaji Bola,Defender,England
Yannick Bolasie,Forward,The Democratic Republic Of Congo
Luke Bolton,Midfielder,England
Willy Boly,Defender,Cote D'Ivoire
Gaëtan Bong,Defender,Cameroon
Artur Boruc,Goalkeeper,Poland
Sofiane Boufal,Midfielder,Morocco
Jamie Bowden,Midfielder,England
Robbie Brady,Midfielder,Ireland
Claudio Bravo,Goalkeeper,Chile
James Bree,Defender,England
Rhian Brewster,Forward,England
Miguel Britos,Defender,Uruguay
David Brooks,Midfielder,Wales
Tyias Browning,Defender,England
Bruno,Defender,Spain
Bruno Jordao,Midfielder,Portugal
Kean Bryan,Defender,England
Emiliano Buendía,Midfielder,Argentina
Marcin Bulka,Goalkeeper,Poland
Mark Bunn,Goalkeeper,England
Dan Burn,Defender,England
Robbie Burton,Midfielder,Wales
Matt Butcher,Defender,England
David Button,Goalkeeper,England
Oskar Buur,Defender,Denmark
Jack Bycroft,Goalkeeper,England
Sam Byram,Defender,England
Ethan Ampadu,Defender,Wales
Florin Andone,Forward,Romania
André Gomes,Midfielder,Portugal
Andreas Pereira,Midfielder,Brazil
Angeliño,Defender,Spain
Faustino Anjorin,Midfielder,England
Michail Antonio,Midfielder,England
Antonio Valencia,Defender,Ecuador
Billy Arce,Midfielder,Ecuador
Cameron Archer,Forward,England
Archie Davies,Defender,England
Stuart Armstrong,Midfielder,Scotland
Marko Arnautovic,Forward,Austria
Kepa Arrizabalaga,Goalkeeper,Spain
Harry Arter,Midfielder,Ireland
Daniel Arzani,Midfielder,Australia
Daniel Atherton,Goalkeeper,England
Christian Atsu,Midfielder,Ghana
Pierre-Emerick Aubameyang,Forward,Gabon
Serge Aurier,Defender,Cote D'Ivoire
Charlie Austin,Forward,England
Ayoze Pérez,Forward,Spain
César Azpilicueta,Defender,Spain
Daniel Bachmann,Goalkeeper,Austria
Owen Bailey,Midfielder,England
Eric Bailly,Defender,Cote D'Ivoire
Leighton Baines,Defender,England
Tiemoué Bakayoko,Midfielder,France
Lewis Baker,Midfielder,England
Fabián Balbuena,Defender,Paraguay
George Baldock,Defender,England
Folarin Balogun,Forward,England
Tudor Baluta,Defender,Romania
Beni Baningime,Midfielder,The Democratic Republic Of Congo
Ben Barclay,Defender,England
Phil Bardsley,Defender,Scotland
Ross Barkley,Midfielder,England
Ashley Barnes,Forward,Austria
Antonio Barreca,Defender,Italy
Chris Basham,Defender,England
Michy Batshuayi,Forward,Belgium
Danny Batth,Defender,England
Gavin Bazunu,Goalkeeper,Ireland
Jan Bednarek,Defender,Poland
Asmir Begovic,Goalkeeper,Bosnia And Herzegovina
Héctor Bellerín,Defender,Spain
Yohan Benalouane,Defender,Tunisia
Filip Benkovic,Defender,Croatia
Ryan Bennett,Defender,England
Benny Ashley-Seal,Forward,England
Josh Benson,Midfielder,England
Christian Benteke,Forward,Belgium
Adrián Bernabé,Midfielder,Spain
Bernard,Forward,Brazil
Bernardo,Defender,Brazil
Bernardo Silva,Midfielder,Portugal
Ryan Bertrand,Defender,England
Muhamed Besic,Midfielder,Bosnia And Herzegovina
Philip Billing,Midfielder,Denmark
Yves Bissouma,Midfielder,Mali
Birkir Bjarnason,Midfielder,Iceland
Joshua Bohui,Forward,England
Tolaji Bola,Defender,England
Yannick Bolasie,Forward,The Democratic Republic Of Congo
Luke Bolton,Midfielder,England
Willy Boly,Defender,Cote D'Ivoire
Gaëtan Bong,Defender,Cameroon
Artur Boruc,Goalkeeper,Poland
Sofiane Boufal,Midfielder,Morocco
Jamie Bowden,Midfielder,England
Robbie Brady,Midfielder,Ireland
Claudio Bravo,Goalkeeper,Chile
James Bree,Defender,England
Rhian Brewster,Forward,England
Miguel Britos,Defender,Uruguay
David Brooks,Midfielder,Wales
Tyias Browning,Defender,England
Bruno,Defender,Spain
Bruno Jordao,Midfielder,Portugal
Kean Bryan,Defender,England
Emiliano Buendía,Midfielder,Argentina
Marcin Bulka,Goalkeeper,Poland
Mark Bunn,Goalkeeper,England
Dan Burn,Defender,England
Robbie Burton,Midfielder,Wales
Matt Butcher,Defender,England
David Button,Goalkeeper,England
Oskar Buur,Defender,Denmark
Jack Bycroft,Goalkeeper,England
Sam Byram,Defender,England
Willy Caballero,Goalkeeper,Argentina
Gary Cahill,Defender,England
Callum Wilson,Forward,England
Dominic Calvert-Lewin,Forward,England
Víctor Camarasa,Midfielder,Spain
Brennan Camp,Defender,Scotland
Chem Campbell,Forward,Wales
Todd Cantwell,Midfielder,England
Etienne Capoue,Midfielder,France
Carlos Sánchez,Midfielder,Colombia
Guido Carrillo,Forward,Argentina
Tom Carroll,Midfielder,England
Samir Carruthers,Midfielder,Ireland
Scott Carson,Goalkeeper,England
Cameron Carter-Vickers,Defender,United States
Lewis Cass,Defender,England
Craig Cathcart,Defender,Northern Ireland
Ivan Cavaleiro,Forward,Portugal
Petr Cech,Goalkeeper,Czech Republic
Cédric Soares,Defender,Portugal
Trevoh Chalobah,Midfielder,England
Calum Chambers,Defender,England
James Chester,Defender,Wales
Chicharito,Forward,Mexico
Ben Chilwell,Defender,England
Pedro Chirivella,Midfielder,Spain
Tahith Chong,Forward,Netherlands
Hamza Choudhury,Midfielder,England
Andreas Christensen,Defender,Denmark
Isaac Christie-Davies,Midfielder,England
Mitchell Clark,Defender,Wales
Matthew Clarke,Defender,England
Leighton Clarkson,Midfielder,England
Jordy Clasie,Midfielder,Netherlands
Tom Cleverley,Midfielder,England
Nathaniel Clyne,Defender,England
